,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
213202,13,0,376828.87,0,1627853.29,2004682.16,0,803463.9,634272.4,0,0
5893482,403,1,32078.07,0,89863.0,57784.93,0,499076.91,531154.99,0,0
2877545,227,0,110112.06,0,1803943.2,1914055.26,0,2221386.68,1994520.51,0,0
1096619,130,0,219384.98,0,1917904.63,2137289.61,0,419898.31,200513.33,0,0
872829,42,0,238095.3,0,15562275.2,15800370.5,0,12124878.03,11886782.73,0,0
4104509,301,0,52820.96,0,85682.0,138502.96,0,0.0,0.0,0,0
573788,24,1,110060.35,0,0.0,0.0,0,3508118.94,3618179.29,0,0
3674675,276,0,11055.51,0,0.0,0.0,0,0.0,0.0,0,0
1563340,155,1,367219.52,0,10449.0,0.0,0,600778.76,967998.28,0,0
3547535,260,1,234716.56,0,189916.0,0.0,0,388829.64,623546.2,0,0
5335468,374,0,269651.66,0,2575951.03,2845602.68,0,393281.15,123629.49,0,0
2509794,205,0,22466.7,0,0.0,0.0,0,0.0,0.0,0,0
855473,41,0,24000.61,0,0.0,0.0,0,0.0,0.0,0,0
3539758,260,1,89370.4,0,5748.02,0.0,0,235528.28,324898.68,0,0
395383,18,1,82328.37,0,0.0,0.0,0,974367.94,1056696.31,0,0
2560484,206,1,52824.58,0,14176.0,0.0,0,35259.95,88084.54,0,0
4964907,351,1,70707.94,0,449.0,0.0,0,0.0,70707.94,0,0
92727,10,1,76185.12,0,0.0,0.0,0,628913.82,158854.65,0,0
3028709,233,2,2762242.5,0,0.0,0.0,0,11580040.71,14377280.82,0,0
5598107,394,0,55529.37,0,1402187.07,1457716.44,0,2684124.39,2628595.02,0,0
5109013,355,1,111127.14,0,0.0,0.0,0,3272751.11,3383878.25,0,0
4108034,302,0,25597.37,0,3429442.73,3455040.1,0,1237744.62,1212147.25,0,0
4793547,345,1,163027.43,0,0.0,0.0,0,349260.64,512288.08,0,0
4974760,352,2,921628.28,0,86135.0,0.0,0,78251.92,999880.2,0,0
2105675,183,0,206402.04,0,869512.92,1075914.96,0,9190116.21,8983714.17,0,0
2299727,188,2,253819.44,0,255852.66,2033.22,0,13700197.45,13954016.89,0,0
2435495,203,0,3266.9,0,190464.28,187197.38,0,0.0,0.0,0,0
4486583,324,0,8456.99,0,0.0,0.0,0,0.0,0.0,0,0
6224641,590,2,52054.12,0,0.0,0.0,0,478198.36,530252.48,0,0
2026199,180,1,78597.55,0,0.0,0.0,0,2858518.08,2937115.63,0,0
4558694,327,0,1798.87,0,142417.49,140618.62,0,0.0,0.0,0,0
592244,33,0,13356.39,0,1867.0,0.0,0,0.0,0.0,0,0
3184655,239,0,3642.64,0,4686.0,1043.36,0,0.0,0.0,0,0
6348757,695,0,150205.53,0,6160509.94,6310715.46,0,754366.19,604160.67,0,0
6359979,715,0,2960.41,0,5525.0,2564.59,0,0.0,0.0,0,0
4520521,325,0,47639.71,0,19313891.03,19361530.73,0,383700.24,336060.54,0,0
3244812,250,2,237084.88,0,0.0,0.0,0,367215.63,604300.51,0,0
3353045,254,1,72888.94,0,0.0,0.0,0,744966.56,817855.51,0,0
1507293,144,0,11512.14,0,5408.0,0.0,0,0.0,0.0,0,0
2629397,209,0,167176.62,0,1265289.14,1432465.76,0,816395.74,649219.11,0,0
4206112,305,2,1603026.17,0,0.0,0.0,0,2086496.54,3689522.71,0,0
5718379,398,1,111912.99,0,16351.0,0.0,0,115960.96,227873.95,0,0
4736594,332,0,4465.16,0,21477.0,17011.84,0,0.0,0.0,0,0
5633243,395,0,4358.09,0,414498.79,410140.7,0,0.0,0.0,0,0
703901,37,0,7700.07,0,0.0,0.0,0,0.0,0.0,0,0
3042175,234,1,83673.24,0,0.0,0.0,0,2513465.7,2597138.94,0,0
4934454,350,0,14832.97,0,0.0,0.0,0,0.0,0.0,0,0
2627932,209,0,1931.39,0,7025.0,5093.61,0,0.0,0.0,0,0
1765174,162,0,119184.94,0,8960330.97,9079515.91,0,468047.69,666005.59,0,0
2287880,187,2,266897.93,0,0.0,0.0,0,7939281.57,8206179.49,0,0
1825797,163,0,203888.88,0,579500.87,783389.75,0,231567.29,27678.41,0,0
5186172,361,0,28165.81,0,175723.0,147557.19,0,0.0,0.0,0,0
4796828,345,0,7422.74,0,0.0,0.0,0,0.0,0.0,0,0
6235783,594,0,188713.08,0,4258753.46,4447466.53,0,1059957.42,871244.35,0,0
5829187,402,2,248938.63,0,0.0,0.0,0,684144.88,933083.51,0,0
440836,18,1,534524.22,0,42800.0,0.0,0,65754.88,600279.1,0,0
3078917,235,0,12070.98,0,171233.29,159162.31,0,0.0,0.0,0,0
5831966,402,0,918.06,0,0.0,0.0,0,0.0,0.0,0,0
1892558,165,0,50568.15,0,3121756.69,3172324.84,0,285459.86,234891.72,0,0
3150887,236,0,2927.41,0,0.0,0.0,0,0.0,0.0,0,0
5655090,396,1,281921.4,0,0.0,0.0,0,25827424.25,26109345.65,0,0
4115632,302,0,51952.92,0,10763.0,62715.92,0,1360686.69,1308733.77,0,0
6227795,592,1,375499.53,0,122361.86,0.0,0,4457392.83,4832892.36,0,0
1287575,135,0,11234.25,0,0.0,0.0,0,0.0,0.0,0,0
2703287,211,0,18573.99,0,1221.0,0.0,0,0.0,0.0,0,0
1027367,48,0,5506.45,0,39942.0,34435.55,0,0.0,0.0,0,0
3365889,254,0,183995.3,0,71681.0,255676.3,0,59031.88,0.0,0,0
3971656,297,1,316420.25,0,0.0,0.0,0,3848714.02,4055487.32,0,0
4615957,329,1,214012.14,0,31734.0,0.0,0,128912.78,342924.91,0,0
4244116,306,0,245934.36,0,21697.0,267631.36,0,0.0,0.0,0,0
3690233,277,0,5324.01,0,79591.81,74267.8,0,0.0,0.0,0,0
427637,18,1,337024.02,0,15204.0,0.0,0,494117.88,831141.9,0,0
1057521,96,0,16154.02,0,108938.63,92784.61,0,0.0,0.0,0,0
2785848,215,0,44147.07,0,97584.29,53437.21,0,0.0,0.0,0,0
3134165,236,0,5981.07,0,0.0,0.0,0,0.0,0.0,0,0
3702663,277,1,17411.53,0,0.0,0.0,0,3086665.52,3104077.05,0,0
3535654,259,0,4571.5,0,3320.0,0.0,0,0.0,0.0,0,0
1534285,154,0,265348.57,0,6365311.17,6630659.74,0,2205715.45,1940366.88,0,0
675725,36,0,290721.6,0,112108.0,402829.6,0,932259.65,811470.82,0,0
3671109,276,2,669857.19,0,611257.09,0.0,0,1453755.55,2123612.74,0,0
1566076,155,1,311485.65,0,75150.0,0.0,0,18371.53,545435.14,0,0
6320648,687,0,25242.27,0,0.0,0.0,0,0.0,0.0,0,0
6149972,546,2,345979.82,0,64315.0,0.0,0,1085222.71,1431202.52,0,0
4703197,331,1,89207.97,0,0.0,0.0,0,2146041.34,2235249.31,0,0
5876425,403,0,196771.54,0,900015.72,1096787.26,0,5584215.08,5496220.0,0,0
5855008,402,0,21586.85,0,0.0,0.0,0,0.0,0.0,0,0
2179685,185,1,315765.54,0,44453.0,0.0,0,614245.18,1059840.37,0,0
5878044,403,1,177799.79,0,22446.0,0.0,0,844283.35,1022083.14,0,0
3199999,249,1,125130.24,0,452808.0,327677.76,0,133644.37,258774.61,0,0
5245542,371,1,300631.63,0,41453.7,0.0,0,5036687.1,5337318.73,0,0
2695599,211,1,154897.93,0,173.0,0.0,0,309087.98,375888.72,0,0
2003849,179,1,57115.36,0,108687.0,51571.64,0,0.0,57115.36,0,0
5390170,377,1,82122.01,0,20165.0,0.0,0,0.0,82122.01,0,0
447854,19,1,226910.82,0,0.0,0.0,0,735733.53,962644.34,0,0
3179964,239,0,60070.87,0,4451220.04,4511290.92,0,321336.63,261265.75,0,0
1977027,178,0,12905.72,0,244068.68,231162.96,0,0.0,0.0,0,0
2348671,189,2,132465.12,0,634.0,0.0,0,0.0,132465.12,0,0
799661,40,1,206507.0,0,12646.0,0.0,0,24341.04,230848.04,0,0
2633678,209,1,142060.46,0,646.0,0.0,0,100911.73,242972.2,0,0
2927082,229,1,229234.94,0,0.0,0.0,0,472008.22,701243.16,0,0
4632823,330,1,121210.71,0,11762.0,0.0,0,0.0,121210.71,0,0
4279705,307,1,142245.04,0,55786.0,0.0,0,1955969.39,2098214.43,0,0
711891,37,2,17541.7,0,0.0,0.0,0,539711.32,557253.01,0,0
18611,8,0,1984.32,0,909771.39,907787.07,0,0.0,0.0,0,0
4048445,300,2,162851.88,0,65664.47,0.0,0,6727613.07,6890464.95,0,0
2790106,215,0,36096.65,0,0.0,0.0,0,0.0,0.0,0,0
5869697,403,0,346834.92,0,24632.0,371466.92,0,1252073.66,1360886.58,0,0
4611511,329,1,77849.77,0,346.0,0.0,0,56533.42,134383.19,0,0
2231781,186,1,162715.74,0,861.0,0.0,0,125409.5,288125.24,0,0
1364423,138,1,257019.23,0,0.0,0.0,0,768097.41,1025116.63,0,0
2849248,227,1,12099.68,0,0.0,0.0,0,35044.98,47144.66,0,0
6283808,658,2,8730600.58,0,8730600.58,0.0,0,0.0,0.0,1,0
4805892,346,1,378538.68,0,9835.0,0.0,0,1093718.13,1472256.81,0,0
3254434,251,0,13273.44,0,9927.0,0.0,0,0.0,0.0,0,0
3138612,236,2,172309.85,0,0.0,0.0,0,1107403.22,1279713.06,0,0
6259105,601,0,2540.27,0,0.0,0.0,0,0.0,0.0,0,0
272767,15,0,24888.42,0,3530.0,28418.42,0,1251160.35,1226271.93,0,0
5376515,376,1,194240.78,0,2484.0,0.0,0,1832064.35,2026305.13,0,0
2000981,179,2,812781.16,0,0.0,0.0,0,2759003.1,3571784.25,0,0
5721133,398,1,176969.61,0,517282.0,340312.39,0,0.0,176969.61,0,0
5841736,402,0,10008.39,0,391.0,0.0,0,0.0,0.0,0,0
5290359,373,2,294917.42,0,50451.67,0.0,0,1129148.95,1424066.37,0,0
1208678,133,1,219223.05,0,125272.0,0.0,0,9514242.3,9733465.35,0,0
2832603,226,0,9731.51,0,5049.0,0.0,0,0.0,0.0,0,0
5147453,357,0,3867.47,0,21446.0,17578.53,0,0.0,0.0,0,0
4192341,305,0,222211.06,0,41573.0,263784.06,0,8111107.21,7888896.15,0,0
5915438,404,0,5165.1,0,628.0,0.0,0,0.0,0.0,0,0
6115711,527,0,158911.7,0,1610722.96,1769634.66,0,1115510.49,956598.8,0,0
2883657,228,1,48866.42,0,0.0,0.0,0,81849.01,130715.43,0,0
762504,38,0,1049.38,0,4594.3,3544.91,0,0.0,0.0,0,0
4122698,302,0,170986.07,0,5966691.86,6137677.93,0,924657.8,753671.74,0,0
4529721,326,1,303900.72,0,174.0,0.0,0,272416.82,576317.54,0,0
5371708,376,1,99711.64,0,0.0,0.0,0,176943.22,276654.87,0,0
2566202,206,0,14447.09,0,451072.0,436624.91,0,0.0,0.0,0,0
442359,19,1,115008.3,0,137165.17,22156.87,0,849342.6,964350.91,0,0
2628911,209,1,77916.4,0,10404.0,0.0,0,0.0,77916.4,0,0
742409,38,0,250301.97,0,2317757.75,2568059.72,0,4822383.73,4572081.76,0,0
2029360,180,0,4335.87,0,0.0,0.0,0,0.0,0.0,0,0
5362630,375,0,5339.11,0,98307.8,92968.69,0,0.0,0.0,0,0
204688,13,0,290117.45,0,44361.0,334478.45,0,5142108.27,4872605.04,0,0
2485734,204,0,24358.26,0,0.0,0.0,0,0.0,0.0,0,0
2736665,212,1,91471.18,0,0.0,0.0,0,350313.46,441784.65,0,0
5544384,382,0,11257.47,0,66027.0,54769.53,0,0.0,0.0,0,0
913962,43,0,12359.53,0,5113854.58,5126214.1,0,328082.35,315722.82,0,0
870374,42,0,9342.22,0,145263.0,135920.78,0,0.0,0.0,0,0
5698599,397,1,233170.6,0,20091.0,0.0,0,382919.82,616090.42,0,0
3337287,253,1,110898.21,0,0.0,0.0,0,388151.35,499049.57,0,0
593430,33,0,157065.32,0,64992.0,222057.32,0,109829.39,0.0,0,0
1673563,158,0,19902.25,0,141834.31,121932.06,0,0.0,0.0,0,0
966885,44,1,80287.79,0,49917.0,0.0,0,0.0,80287.79,0,0
3483001,258,0,37960.62,0,108903.0,146863.62,0,2574687.76,2536727.13,0,0
3734335,278,0,1007.85,0,10969.0,9961.15,0,0.0,0.0,0,0
5992018,420,2,625428.07,0,0.0,0.0,0,9214035.56,9839463.63,0,0
2310127,188,0,7756.65,0,0.0,0.0,0,0.0,0.0,0,0
4145487,303,1,261692.51,0,0.0,0.0,0,293635.83,555328.34,0,0
4624772,329,1,178806.41,0,1076.0,0.0,0,186250.94,365057.35,0,0
140503,11,0,73217.84,0,152.0,73369.84,0,585997.53,512779.69,0,0
1430182,139,1,136588.59,0,11940.0,0.0,0,0.0,136588.59,0,0
4315131,308,0,17071.47,0,6210.0,0.0,0,0.0,0.0,0,0
208941,13,0,8522.47,0,8542.0,19.53,0,0.0,0.0,0,0
6269781,619,0,1302.47,0,10308.0,9005.53,0,962346.12,963648.59,0,0
2876572,227,1,319377.11,0,0.0,0.0,0,17073561.82,17392938.93,0,0
2709796,211,0,433432.65,0,972988.04,1406420.69,0,4181141.23,3747708.58,0,0
5408383,378,0,12860.5,0,4428893.16,4441753.66,0,13851.15,990.64,0,0
1527736,153,0,20052.22,0,972685.35,992737.56,0,499251.31,479199.1,0,0
5651753,396,2,1131709.5,0,107379.0,0.0,0,286086.23,1417795.74,0,0
3597220,263,1,112023.71,0,559694.0,447670.29,0,11402.45,123426.17,0,0
6025560,469,1,201723.07,0,0.0,0.0,0,3338787.21,3540510.28,0,0
2052840,181,2,309094.25,0,0.0,0.0,0,1445442.17,1754536.42,0,0
3536431,259,1,68878.15,0,0.0,0.0,0,576768.1,645646.24,0,0
936155,43,0,104846.61,0,1097.0,105943.61,0,0.0,0.0,0,0
508670,20,1,272534.04,0,0.0,0.0,0,1022469.55,1295003.59,0,0
2050144,181,0,244855.34,0,3447094.18,3691949.52,0,619865.64,375010.3,0,0
1682306,159,1,97731.97,0,0.0,0.0,0,1537216.46,1634948.43,0,0
4051305,300,1,409999.09,0,0.0,0.0,0,1741451.68,2151450.77,0,0
2590835,207,1,333202.88,0,0.0,0.0,0,15119107.76,15452310.63,0,0
3436382,256,1,194124.52,0,25513.0,0.0,0,300032.13,494156.65,0,0
2456276,203,0,22532.16,0,1066.0,23598.16,0,1411920.85,1389388.69,0,0
2634281,209,0,17559.29,0,122822.68,105263.38,0,0.0,0.0,0,0
1757430,161,1,148685.15,0,0.0,0.0,0,3632396.58,4721736.85,0,0
5995349,422,0,4233.55,0,8594.55,4361.0,0,0.0,0.0,0,0
1817738,163,1,39092.36,0,0.0,0.0,0,43037.89,82130.25,0,0
62813,9,1,265347.42,0,600713.0,335365.58,0,0.0,79128.29,0,0
3542256,260,0,6775.51,0,184.0,0.0,0,0.0,0.0,0,0
3798725,281,1,75630.55,0,205958.0,130327.45,0,462341.29,537971.84,0,0
251196,14,1,186946.26,0,0.0,0.0,0,1617199.97,1790208.99,0,0
5039927,354,0,145307.55,0,1501518.43,1646825.98,0,11437300.91,11291993.36,0,0
65526,9,0,214614.46,0,6076795.24,6291409.7,0,442746.45,595503.98,0,0
334916,16,0,179045.95,0,11440050.21,11619096.16,0,1107226.11,902678.79,0,0
1372312,138,1,363778.09,0,0.0,0.0,0,7610591.38,7974369.48,0,0
5712171,398,1,116051.96,0,11676.0,0.0,0,342326.28,458378.25,0,0
2398854,201,0,3782.33,0,10539.0,6756.67,0,0.0,0.0,0,0
294987,15,0,5096.28,0,60055.32,54959.05,0,0.0,0.0,0,0
2620410,208,1,154107.0,0,5460.16,0.0,0,1886923.61,2041030.61,0,0
1320109,136,0,16628.25,0,111296.0,94667.75,0,0.0,0.0,0,0
6336953,691,1,128630.88,0,12115.0,0.0,0,1090564.61,1219195.49,0,0
6034906,476,1,63315.17,0,16960.0,0.0,0,0.0,63315.17,0,0
5576428,393,0,21692.22,0,445.0,0.0,0,0.0,0.0,0,0
2135777,184,0,116696.7,0,30209.0,146905.7,0,11020273.93,10903577.22,0,0
5331095,374,0,2902.39,0,20247.27,17344.88,0,0.0,0.0,0,0
6242037,595,0,109586.55,0,4663251.06,4772837.61,0,777037.27,667450.73,0,0
4155521,303,0,31400.65,0,0.0,0.0,0,0.0,0.0,0,0
140331,11,0,18997.88,0,3518.0,0.0,0,0.0,0.0,0,0
698558,36,2,913792.28,0,17363.0,0.0,0,1976299.34,2890091.62,0,0
6257982,599,0,847.4,0,596553.0,595705.6,0,0.0,0.0,0,0
5641367,396,1,194419.55,0,0.0,0.0,0,230350.06,424769.62,0,0
4698509,331,0,8098.24,0,357398.0,349299.76,0,0.0,0.0,0,0
4120849,302,1,232899.79,0,0.0,0.0,0,395191.54,628091.33,0,0
3740991,279,1,218284.19,0,28659.6,0.0,0,723473.05,941757.24,0,0
3496867,259,0,1743.04,0,20511.0,18767.96,0,0.0,0.0,0,0
5274876,372,0,255232.61,0,21597.0,276829.61,0,3869700.8,3614468.19,0,0
4528098,326,0,25686.98,0,9697.64,0.0,0,0.0,0.0,0,0
4772341,335,0,56836.45,0,4366456.68,4423293.13,0,379607.1,322770.66,0,0
3688373,276,1,140030.1,0,9921.0,0.0,0,922825.49,1062855.59,0,0
1029172,48,2,224530.41,0,0.0,0.0,0,333034.89,557565.3,0,0
3731905,278,0,17456.32,0,0.0,0.0,0,0.0,0.0,0,0
5042171,354,0,316787.0,0,16450054.79,16766841.79,0,4808654.96,4491867.96,0,0
3784093,280,0,71841.36,0,9755850.43,9827691.79,0,526617.36,454776.0,0,0
1994246,179,0,241.89,0,72595.53,72353.64,0,0.0,0.0,0,0
3475073,258,2,569119.55,0,0.0,0.0,0,11984946.54,12554066.1,0,0
2031581,180,0,7362.33,0,185019.07,177656.75,0,0.0,0.0,0,0
2023584,180,1,184973.85,0,0.0,0.0,0,431973.24,616947.09,0,0
3124235,236,1,15534.73,0,0.0,0.0,0,3240531.47,3256066.2,0,0
730491,37,0,89516.36,0,974809.77,1064326.12,0,287732.66,198216.31,0,0
345553,16,0,10580.12,0,0.0,0.0,0,0.0,0.0,0,0
1366010,138,0,208691.44,0,917912.96,1126604.4,0,242520.54,33829.1,0,0
4212660,305,0,162771.67,0,259972.0,422743.67,0,1257319.99,1440980.19,0,0
3948061,287,0,33314.47,0,1469.0,0.0,0,0.0,0.0,0,0
2706421,211,0,9442.5,0,24151.0,14708.5,0,0.0,0.0,0,0
5075002,355,0,14291.03,0,39982.1,25691.07,0,0.0,0.0,0,0
4224938,306,0,16823.34,0,52096.0,35272.66,0,0.0,0.0,0,0
16876,8,0,696.58,0,46217.0,45520.42,0,0.0,0.0,0,0
3803148,281,0,15242.26,0,9964.0,0.0,0,0.0,0.0,0,0
5811208,401,2,511003.42,0,1581.0,0.0,0,4082709.63,4593713.05,0,0
2927743,229,1,336185.77,0,0.0,0.0,0,628771.86,964957.63,0,0
2821000,226,1,43195.39,0,32125.0,0.0,0,194017.66,237213.05,0,0
5346969,375,0,26635.55,0,0.0,0.0,0,0.0,0.0,0,0
5689763,397,0,7615.07,0,319616.87,312001.8,0,0.0,0.0,0,0
3812881,281,0,10256.59,0,10053.0,0.0,0,0.0,0.0,0,0
5177559,359,1,17311.61,0,313161.0,295849.39,0,2976350.62,2993662.23,0,0
4367664,310,1,204459.85,0,0.0,0.0,0,242405.57,446865.41,0,0
4464923,324,0,7218.9,0,65430.0,58211.1,0,0.0,0.0,0,0
1868264,164,0,5148.78,0,22322.56,17173.79,0,0.0,0.0,0,0
6086833,522,1,220748.51,0,39162.0,0.0,0,657639.88,878388.39,0,0
3113437,235,0,292276.73,0,89214.67,381491.4,0,2000829.64,1708552.91,0,0
4690538,331,0,7997.91,0,0.0,0.0,0,0.0,0.0,0,0
6149589,546,0,2507.03,0,452386.52,449879.49,0,0.0,0.0,0,0
1852629,164,1,62495.0,0,0.0,0.0,0,2041722.47,2104217.47,0,0
2473340,204,0,120150.1,0,6234916.32,6355066.42,0,830051.79,709901.69,0,0
1446656,140,1,267377.86,0,0.0,0.0,0,2867325.07,3134702.93,0,0
5693879,397,1,110120.66,0,99899.0,0.0,0,77395.47,187516.13,0,0
5974340,407,1,95619.64,0,3025.0,0.0,0,0.0,95619.64,0,0
499157,20,1,393367.47,0,0.0,0.0,0,525261.52,1048766.31,0,0
6031143,474,0,345941.46,0,6405794.25,6751735.71,0,4642804.67,4296863.21,0,0
461220,19,1,24128.62,0,27146.0,3017.38,0,184749.04,208877.67,0,0
1772150,162,0,2126.56,0,431756.57,429630.01,0,0.0,0.0,0,0
2639841,209,2,442743.04,0,0.0,0.0,0,4730192.73,5172935.77,0,0
4653466,330,1,184708.09,0,0.0,0.0,0,898410.98,1083119.07,0,0
4958896,351,0,7229.22,0,0.0,0.0,0,0.0,0.0,0,0
222311,14,0,2778.97,0,198559.09,195780.11,0,0.0,0.0,0,0
3532737,259,1,123486.94,0,0.0,0.0,0,2150036.73,2273523.68,0,0
2191877,185,0,160305.72,0,10201.0,170506.72,0,4495919.7,4335613.98,0,0
3819407,281,0,5385.25,0,116920.23,111534.98,0,0.0,0.0,0,0
5161253,357,1,330004.63,0,20335.35,0.0,0,8561377.07,8891381.7,0,0
2905301,228,0,1381.2,0,7333754.11,7335135.31,0,213819.85,212438.65,0,0
2788931,215,0,4133.79,0,58420.0,54286.21,0,32528.35,36662.14,0,0
5752641,399,0,22918.27,0,299633.98,276715.71,0,0.0,0.0,0,0
3907159,284,2,2523245.13,0,0.0,0.0,0,3292690.17,5815935.3,0,0
4702714,331,0,16165.98,0,179124.0,162958.02,0,0.0,0.0,0,0
847500,41,0,7147.09,0,45798.0,38650.91,0,0.0,0.0,0,0
5237161,371,0,215194.92,0,15804.0,230998.92,0,502977.34,287782.43,0,0
4538560,326,1,286021.16,0,32394.0,0.0,0,2703338.06,2989359.22,0,0
2242936,186,0,5989.81,0,0.0,0.0,0,0.0,0.0,0,0
3802314,281,0,316791.68,0,1230325.91,1547117.59,0,1561827.24,1245035.56,0,0
4384024,312,0,6846.44,0,20042.0,13195.56,0,0.0,0.0,0,0
89395,10,1,46468.13,0,0.0,0.0,0,2364272.46,2410740.59,0,0
2844701,226,1,38661.0,0,49578.0,10917.0,0,58517.04,97178.05,0,0
1516692,153,0,83772.75,0,1430108.91,1513881.67,0,762636.97,1275244.71,0,0
53897,9,2,1476176.41,0,0.0,0.0,0,6758921.84,7759842.42,0,0
357768,17,1,237477.55,0,0.0,0.0,0,1160480.62,1397958.17,0,0
5963087,406,0,18301.54,0,7800763.26,7819064.8,0,243488.48,225186.95,0,0
1356933,138,1,162787.82,0,0.0,0.0,0,404088.51,566876.33,0,0
4028006,299,0,4339.29,0,0.0,0.0,0,0.0,0.0,0,0
2563559,206,2,286482.08,0,0.0,0.0,0,6486813.15,6773295.23,0,0
3361532,254,0,10686.5,0,10484.0,0.0,0,0.0,0.0,0,0
2996606,232,0,237252.48,0,11401722.73,11638975.21,0,1596394.88,1359142.4,0,0
6132409,544,0,35979.45,0,1515978.81,1551958.26,0,906188.61,870209.16,0,0
1988418,179,0,14936.54,0,0.0,0.0,0,0.0,0.0,0,0
1086117,129,0,38946.7,0,0.0,0.0,0,0.0,0.0,0,0
4826222,346,0,84224.79,0,1381609.25,1465834.04,0,523831.5,439606.71,0,0
5697438,397,1,284873.44,0,26804.0,0.0,0,0.0,284873.44,0,0
3986193,298,0,365373.42,0,56685.0,422058.42,0,14314.93,0.0,0,0
1724123,160,0,8497.51,0,4416563.01,4425060.52,0,501536.59,493039.08,0,0
146425,12,1,483555.09,0,11460.0,0.0,0,0.0,667256.9,0,0
4573424,328,0,107624.4,0,3870473.61,3978098.0,0,683067.48,575443.08,0,0
2382979,201,0,5907.83,0,3022.0,0.0,0,0.0,0.0,0,0
51468,9,0,303.9,0,953663.96,953360.06,0,0.0,0.0,0,0
2852263,227,0,79516.05,0,100327.0,20810.95,0,0.0,0.0,0,0
5744757,399,0,13527.35,0,0.0,0.0,0,0.0,0.0,0,0
6130968,542,0,187044.89,0,15635.0,202679.89,0,43218.97,0.0,0,0
3547725,260,2,416284.83,0,0.0,0.0,0,564471.86,980756.7,0,0
740504,38,1,49430.41,0,746.0,0.0,0,87316.78,136747.19,0,0
254911,14,0,67605.26,0,9236065.15,9303670.41,0,114024.2,0.0,0,0
6112273,526,0,1343.27,0,121.0,0.0,0,0.0,0.0,0,0
4280884,307,0,59512.83,0,338498.77,398011.59,0,65856.81,6343.98,0,0
227957,14,1,248942.31,0,0.0,0.0,0,705677.7,942255.81,0,0
102374,10,1,250881.7,0,0.0,0.0,0,7235720.98,7273180.0,0,0
2210519,186,0,113005.94,0,21540.0,134545.94,0,3536448.87,3423442.93,0,0
823098,41,2,501709.63,0,9846.0,0.0,0,5932706.69,6434416.32,0,0
3971878,297,0,191591.89,0,157088.93,348680.83,0,2027571.26,1835979.36,0,0
4104483,301,0,92536.97,0,11305.0,103841.97,0,5377010.93,5600611.05,0,0
6171645,563,0,82937.61,0,10151.0,93088.61,0,9191035.77,9108098.16,0,0
3686893,276,1,255189.12,0,1085.0,0.0,0,317666.83,572855.95,0,0
1604132,156,1,5586.02,0,0.0,0.0,0,67271.36,72857.38,0,0
3424372,256,0,22761.63,0,228010.72,205249.09,0,0.0,0.0,0,0
3322029,253,0,264971.56,0,22733.0,287704.56,0,259599.45,0.0,0,0
90388,10,2,2995297.29,0,0.0,0.0,0,2999914.25,5834236.23,0,0
4291648,307,0,5605.24,0,0.0,0.0,0,0.0,0.0,0,0
584073,33,1,113765.7,0,0.0,0.0,0,2636691.98,2750457.67,0,0
2665014,210,1,69838.74,0,0.0,0.0,0,312505.55,382344.29,0,0
